,cosmic_id,assay_name
1297446,1297446,5500994172383112813929_G05
713878,713878,5500994158987071513202_G05
1331050,1331050,5500994158987071513207_G05
909726,909726,5500994172383112813928_G05
1240204,1240204,5500994158987071513201_G05
688031,688031,5500994172383112813930_G05
1480358,1480358,5500994172948120113978_G05
924106,924106,5500994173212120213068_G06
1290810,1290810,5500994157493061613625_G06
910853,910853,5500994158987071513209_G06
949168,949168,5500994172383112813929_G06
907792,907792,5500994158987071513202_G06
909708,909708,5500994158987071513207_G06
907073,907073,5500994172383112813928_G06
946360,946360,5500994158987071513201_G06
949172,949172,5500994172383112813930_G06
1323913,1323913,5500994172948120113978_G06
909253,909253,5500994173212120213068_G07
753618,753618,5500994157493061613625_G07
924107,924107,5500994158987071513209_G07
1503369,1503369,5500994172383112813929_G07
735784,735784,5500994158987071513207_G07
905972,905972,5500994172383112813928_G07
1298349,1298349,5500994158987071513201_G07
908447,908447,5500994172383112813930_G07
687829,687829,5500994157493061613625_G08
906812,906812,5500994158987071513209_G08
907048,907048,5500994172383112813929_G08
906869,906869,5500994158987071513202_G08
909773,909773,5500994158987071513207_G08
1240154,1240154,5500994172383112813928_G08
1298348,1298348,5500994158987071513201_G08
949176,949176,5500994172383112813930_G08
949155,949155,5500994157493061613625_G09
753548,753548,5500994158987071513209_G09
1240140,1240140,5500994172383112813929_G09
906875,906875,5500994158987071513202_G09
909716,909716,5500994158987071513207_G09
753564,753564,5500994172383112813928_G09
910930,910930,5500994172383112813930_G09
1290813,1290813,5500994157493061613625_G10
906838,906838,5500994158987071513209_G10
907046,907046,5500994172383112813929_G10
907298,907298,5500994158987071513202_G10
909756,909756,5500994158987071513207_G10
907175,907175,5500994172383112813928_G10
909256,909256,5500994158987071513201_G10
909751,909751,5500994172383112813930_G10
1480360,1480360,5500994172948120113978_G10
909747,909747,5500994157493061613625_G11
906851,906851,5500994158987071513209_G11
1240142,1240142,5500994172383112813929_G11
908148,908148,5500994158987071513202_G11
909736,909736,5500994158987071513207_G11
1240161,1240161,5500994172383112813928_G11
905969,905969,5500994158987071513201_G11
1331035,1331035,5500994172383112813930_G11
1290725,1290725,5500994172948120113978_G11
684062,684062,5500994158987071513209_G12
907289,907289,5500994172383112813929_G12
908124,908124,5500994158987071513202_G12
687586,687586,5500994158987071513207_G12
905968,905968,5500994172383112813928_G12
1240185,1240185,5500994158987071513201_G12
905986,905986,5500994172383112813930_G12
1660034,1660034,5500994173212120213068_H01
1290808,1290808,5500994157493061613625_H01
